Year,Quarter,RHPI,RPDI,RTB10_rt,CPI,TB10_rt,UE,logRHPI,logRPDI
1976,Q1,58.98,74.11,0.835,24.414,9.327,6.867,4.0772,4.3056
1976,Q2,59.81,75.93,2.535,24.783,9.27,7.167,4.0912,4.3298
1976,Q3,58.82,73.23,2.885,25.125,8.937,7.367,4.0745,4.2936
1976,Q4,57.63,75.18,1.919,25.652,8.61,7.733,4.054,4.3199
1977,Q1,55.78,74.07,0.943,26.31,8.783,7.867,4.0214,4.305
1977,Q2,55.2,75.11,0.238,26.863,8.653,8.233,4.011,4.319
1977,Q3,54.45,73.77,-0.36,27.416,8.727,8.4,3.9973,4.301
1977,Q4,56.11,74.34,0.044,27.969,9.083,8.367,4.0273,4.3086
1978,Q1,55.73,76.48,0.366,28.628,9.207,8.467,4.0205,4.337
1978,Q2,56.04,75.7,-0.051,29.339,9.16,8.467,4.0261,4.3268
1978,Q3,56.02,75.09,0.602,29.839,9.493,8.2,4.0257,4.3187
1978,Q4,55.27,75.41,0.864,30.471,9.887,8,4.0122,4.3229
1979,Q1,55.36,75.25,0.338,31.314,9.753,7.633,4.0139,4.3208
1979,Q2,56.18,77.05,1.124,31.92,10.02,7.067,4.0286,4.3445
1979,Q3,57.5,76.1,1.474,32.657,11.057,7.233,4.0518,4.332
1979,Q4,58.75,76.83,2.739,33.368,12.507,7.567,4.0733,4.3416
1980,Q1,60.14,76.72,2.048,34.29,11.747,7.733,4.0967,4.3402
1980,Q2,61.78,76.71,1.549,35.265,12.19,7.533,4.1236,4.34
1980,Q3,63.05,76.78,1.75,36.239,12.91,7.233,4.1439,4.3409
1980,Q4,65.85,77.57,0.758,37.477,13.163,7.4,4.1874,4.3512
1981,Q1,71.88,78.37,2.012,38.583,14.783,7.2,4.275,4.3614
1981,Q2,76.94,78.59,3.328,39.742,16.447,7.467,4.343,4.3642
1981,Q3,83.06,78.21,2.856,40.716,15.563,8.433,4.4196,4.3594
1981,Q4,78.48,79.01,3.674,41.743,15.477,8.933,4.3628,4.3696
1982,Q1,75.39,79.8,3.282,43.034,15.197,10.433,4.3227,4.3795
1982,Q2,71.81,78.14,3.991,43.956,15.017,12.167,4.274,4.3585
1982,Q3,67.11,77.59,2.201,44.641,12.051,12.933,4.2063,4.3514
1982,Q4,61.61,74.68,3.371,44.957,11.328,12.6,4.1208,4.3132
1983,Q1,61.33,74.32,4.785,45.562,10.941,12.467,4.1163,4.3084
1983,Q2,61.35,74,6.054,46.3,11.709,11.767,4.1166,4.3041
1983,Q3,61.31,77.83,6.646,46.721,11.616,11.2,4.1159,4.3545
1983,Q4,60.44,76.23,6.646,47.274,12.144,11.267,4.1017,4.3338
1984,Q1,58.98,75.19,8.497,47.669,13.514,11.5,4.0772,4.32
1984,Q2,59.98,77.74,8.983,48.064,13.137,11.367,4.094,4.3534
1984,Q3,59.28,78.06,8.085,48.433,12.046,11.3,4.0823,4.3575
1984,Q4,57.35,78.69,7.9,48.986,11.807,10.933,4.0492,4.3655
1985,Q1,56.54,78.69,6.796,49.565,11.045,10.767,4.0349,4.3655
1985,Q2,57.25,81.4,6.292,50.04,10.661,10.467,4.0474,4.3994
1985,Q3,57.46,80.98,5.764,50.435,10.135,10.367,4.0511,4.3942
1985,Q4,58.38,81.31,5.276,51.093,9.804,9.967,4.067,4.3983
1986,Q1,58.51,80.75,4.844,51.514,8.967,9.733,4.0692,4.3914
1986,Q2,60.48,81.66,4.553,52.12,8.9,9.6,4.1023,4.4026
1986,Q3,61.85,80.84,4.335,52.647,8.912,9.467,4.1247,4.3925
1986,Q4,63.49,80.56,4.168,53.147,8.357,9.5,4.1509,4.389
1987,Q1,65.41,81.78,4.394,53.911,9.251,9,4.1807,4.404
1987,Q2,69.38,80.99,5.34,54.49,10.13,8.6,4.2396,4.3943
1987,Q3,71.86,83.69,5.703,54.859,10.145,8.133,4.2747,4.4271
1987,Q4,72.36,83.14,5.122,55.333,9.446,7.867,4.2817,4.4205
1988,Q1,71.88,82.55,5.607,56.044,9.786,7.7,4.275,4.4134
1988,Q2,74.4,84.54,5.9,56.65,10.097,7.867,4.3095,4.4372
1988,Q3,77.15,86.55,5.682,57.098,9.995,7.633,4.3458,4.4607
1988,Q4,78.4,87.86,5.586,57.809,10.31,7.533,4.3618,4.4757
1989,Q1,81.17,88.71,4.723,58.81,9.891,7.667,4.3965,4.4854
1989,Q2,86.46,89.82,3.902,59.652,9.409,7.433,4.4597,4.4978
1989,Q3,84.85,87.49,4.098,60.074,9.524,7.5,4.4409,4.4715
1989,Q4,85.02,87.82,4.607,60.943,10.278,7.633,4.4429,4.4753
1990,Q1,86.53,89.28,6.237,61.522,11.138,7.667,4.4605,4.4918
1990,Q2,87.62,85.9,6.365,62.128,10.78,8.167,4.473,4.4532
1990,Q3,82.75,87.18,5.451,63.05,10.675,9.133,4.4158,4.468
